CYCLE, EVENT_NAME, CACHE_NAME, ADDR, IP, CACHE_HIT, TYPE
2865,PREFETCH_SUCCESS,cpu0_L2C,111930901,0,0,0
2866,CACHE_OPERATE,cpu0_L2C,78007568,4201044,1,LOAD
2866,PREFETCH_SUCCESS,cpu0_L2C,78007573,0,0,0
2867,CACHE_OPERATE,cpu0_L2C,17681808,4201057,0,LOAD
2867,PREFETCH_SUCCESS,cpu0_L2C,17681813,0,0,0
2868,CACHE_OPERATE,cpu0_L2C,48234768,4201071,1,LOAD
2868,PREFETCH_SUCCESS,cpu0_L2C,48234773,0,0,0
2869,CACHE_OPERATE,cpu0_L2C,26079056,4201094,1,LOAD
2869,PREFETCH_SUCCESS,cpu0_L2C,26079061,0,0,0
2870,CACHE_OPERATE,cpu0_L2C,52174352,4201107,1,LOAD
2870,PREFETCH_SUCCESS,cpu0_L2C,52174357,0,0,0
2871,PREFETCH_SUCCESS,cpu0_L2C,52174358,0,0,0
2872,PREFETCH_SUCCESS,cpu0_L2C,52174359,0,0,0
2873,PREFETCH_SUCCESS,cpu0_L2C,52174360,0,0,0
2874,PREFETCH_SUCCESS,cpu0_L2C,52174361,0,0,0
2875,PREFETCH_SUCCESS,cpu0_L2C,52174362,0,0,0
2876,PREFETCH_SUCCESS,cpu0_L2C,52174363,0,0,0
2888,CACHE_OPERATE,cpu0_L2C,102137169,4201008,1,LOAD
2889,CACHE_OPERATE,cpu0_L2C,95178498,4201034,0,LOAD
2889,PREFETCH_SUCCESS,cpu0_L2C,95178503,0,0,0
2890,CACHE_OPERATE,cpu0_L2C,111930897,4201020,1,LOAD
2890,PREFETCH_SUCCESS,cpu0_L2C,95178504,0,0,0
2891,CACHE_OPERATE,cpu0_L2C,78007569,4201044,1,LOAD
2891,PREFETCH_SUCCESS,cpu0_L2C,95178505,0,0,0
2892,CACHE_OPERATE,cpu0_L2C,17681809,4201057,1,LOAD
2892,PREFETCH_SUCCESS,cpu0_L2C,95178506,0,0,0
2893,CACHE_OPERATE,cpu0_L2C,48234769,4201071,1,LOAD
2893,PREFETCH_SUCCESS,cpu0_L2C,95178507,0,0,0
2894,CACHE_OPERATE,cpu0_L2C,26079057,4201094,1,LOAD
2894,PREFETCH_SUCCESS,cpu0_L2C,95178508,0,0,0
2895,CACHE_OPERATE,cpu0_L2C,52174353,4201107,1,LOAD
2895,PREFETCH_SUCCESS,cpu0_L2C,95178509,0,0,0
2896,CACHE_OPERATE,cpu0_L2C,102137170,4201008,1,LOAD
2898,CACHE_OPERATE,cpu0_L2C,111930898,4201020,0,LOAD
2898,PREFETCH_SUCCESS,cpu0_L2C,111930903,0,0,0
2899,CACHE_OPERATE,cpu0_L2C,78007570,4201044,1,LOAD
2899,PREFETCH_SUCCESS,cpu0_L2C,78007575,0,0,0
2900,CACHE_OPERATE,cpu0_L2C,72525765,4201049,0,LOAD
2900,PREFETCH_SUCCESS,cpu0_L2C,72525770,0,0,0
2901,CACHE_OPERATE,cpu0_L2C,17681810,4201057,1,LOAD
2901,PREFETCH_SUCCESS,cpu0_L2C,72525771,0,0,0
